Mareografo,Fecha,Nivel
Buenos  Aires,2025-04-20 00:00:00-03:00,0.88
Buenos  Aires,2025-04-20 00:45:00-03:00,0.96
Buenos  Aires,2025-04-20 01:45:00-03:00,0.88
Buenos  Aires,2025-04-20 02:45:00-03:00,0.84
Buenos  Aires,2025-04-20 03:45:00-03:00,0.79
Buenos  Aires,2025-04-20 04:45:00-03:00,0.79
Buenos  Aires,2025-04-20 05:45:00-03:00,0.88
Buenos  Aires,2025-04-20 06:45:00-03:00,1.17
Buenos  Aires,2025-04-20 07:45:00-03:00,1.45
Buenos  Aires,2025-04-20 08:45:00-03:00,1.66
Buenos  Aires,2025-04-20 09:45:00-03:00,1.8
Buenos  Aires,2025-04-20 10:45:00-03:00,1.87
Buenos  Aires,2025-04-20 11:45:00-03:00,1.86
Buenos  Aires,2025-04-20 12:45:00-03:00,1.72
Buenos  Aires,2025-04-20 13:45:00-03:00,1.53
Buenos  Aires,2025-04-20 14:45:00-03:00,1.34
Buenos  Aires,2025-04-20 15:45:00-03:00,1.17
Buenos  Aires,2025-04-20 16:45:00-03:00,1.03
Buenos  Aires,2025-04-20 17:45:00-03:00,0.98
Buenos  Aires,2025-04-20 18:45:00-03:00,0.81
Buenos  Aires,2025-04-20 19:45:00-03:00,0.71
Buenos  Aires,2025-04-20 20:45:00-03:00,0.66
Buenos  Aires,2025-04-20 21:45:00-03:00,0.68
Buenos  Aires,2025-04-20 22:45:00-03:00,0.72
Buenos  Aires,2025-04-20 23:45:00-03:00,0.78
Buenos  Aires,2025-04-21 00:00:00-03:00,0.68
Buenos  Aires,2025-04-21 00:45:00-03:00,0.76
Buenos  Aires,2025-04-21 01:45:00-03:00,0.68
Buenos  Aires,2025-04-21 02:45:00-03:00,0.61
Buenos  Aires,2025-04-21 03:45:00-03:00,0.51
Buenos  Aires,2025-04-21 04:45:00-03:00,0.45
Buenos  Aires,2025-04-21 05:45:00-03:00,0.37
Buenos  Aires,2025-04-21 06:45:00-03:00,0.32
Buenos  Aires,2025-04-21 07:45:00-03:00,0.33
Buenos  Aires,2025-04-21 08:45:00-03:00,0.59
Buenos  Aires,2025-04-21 09:45:00-03:00,0.84
Buenos  Aires,2025-04-21 10:45:00-03:00,1.05
Buenos  Aires,2025-04-21 11:45:00-03:00,1.12
Buenos  Aires,2025-04-21 12:45:00-03:00,1.13
Buenos  Aires,2025-04-21 13:45:00-03:00,1.02
Buenos  Aires,2025-04-21 14:45:00-03:00,0.87
Buenos  Aires,2025-04-21 15:45:00-03:00,0.71
Buenos  Aires,2025-04-21 16:45:00-03:00,0.57
Buenos  Aires,2025-04-21 17:45:00-03:00,0.44
Buenos  Aires,2025-04-21 18:45:00-03:00,0.33
Buenos  Aires,2025-04-21 19:45:00-03:00,0.27
Buenos  Aires,2025-04-21 20:45:00-03:00,0.21
Buenos  Aires,2025-04-21 21:45:00-03:00,0.2
Buenos  Aires,2025-04-21 22:45:00-03:00,0.23
Buenos  Aires,2025-04-21 23:45:00-03:00,0.33
Buenos  Aires,2025-04-22 00:00:00-03:00,0.4
Buenos  Aires,2025-04-22 00:45:00-03:00,0.42
Buenos  Aires,2025-04-22 01:45:00-03:00,0.4
Buenos  Aires,2025-04-22 02:45:00-03:00,0.34
Buenos  Aires,2025-04-22 03:45:00-03:00,0.23
Buenos  Aires,2025-04-22 04:45:00-03:00,0.13
Buenos  Aires,2025-04-22 05:45:00-03:00,0.08
Buenos  Aires,2025-04-22 06:45:00-03:00,0.01
Buenos  Aires,2025-04-22 07:45:00-03:00,-0.02
Buenos  Aires,2025-04-22 08:45:00-03:00,0.01
Buenos  Aires,2025-04-22 09:45:00-03:00,0.24
Buenos  Aires,2025-04-22 10:45:00-03:00,0.5
Buenos  Aires,2025-04-22 11:45:00-03:00,0.7
Buenos  Aires,2025-04-22 12:45:00-03:00,0.85
Buenos  Aires,2025-04-22 13:45:00-03:00,0.93
Buenos  Aires,2025-04-22 14:45:00-03:00,1.02
Buenos  Aires,2025-04-22 15:45:00-03:00,1.01
Buenos  Aires,2025-04-22 16:45:00-03:00,0.93
Buenos  Aires,2025-04-22 17:45:00-03:00,0.8
Buenos  Aires,2025-04-22 18:45:00-03:00,0.75
Buenos  Aires,2025-04-22 19:45:00-03:00,0.74
Buenos  Aires,2025-04-22 20:45:00-03:00,0.91
Buenos  Aires,2025-04-22 21:45:00-03:00,1.11
Buenos  Aires,2025-04-22 22:45:00-03:00,1.24
Buenos  Aires,2025-04-22 23:45:00-03:00,1.41
Buenos  Aires,2025-04-23 00:00:00-03:00,1.49
Buenos  Aires,2025-04-23 00:45:00-03:00,1.42
Buenos  Aires,2025-04-23 01:45:00-03:00,1.49
Buenos  Aires,2025-04-23 02:45:00-03:00,1.35
Buenos  Aires,2025-04-23 03:45:00-03:00,1.17
