Lugar,Estado,Altura,Fecha,Fecha_Prono,Diferencia_horas
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.3,4/12/2025 22:00,4/12/2025 19:00,3
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,0.9,4/13/2025 3:00,4/12/2025 19:00,8
PUERTO LA PLATA,BAJAMAR,0.5,4/13/2025 1:00,4/13/2025 1:00,0
PUERTO LA PLATA,PLEAMAR,1,4/13/2025 6:00,4/13/2025 1:00,5
PUERTO LA PLATA,BAJAMAR,0.75,4/13/2025 13:00,4/13/2025 1:00,12
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.35,4/13/2025 3:00,4/13/2025 1:00,2
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,0.9,4/13/2025 8:00,4/13/2025 1:00,7
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.6,4/13/2025 14:30,4/13/2025 1:00,13.5
SAN FERNANDO,BAJAMAR,0.45,4/13/2025 4:00,4/13/2025 1:00,3
SAN FERNANDO,PLEAMAR,1,4/13/2025 9:00,4/13/2025 1:00,8
SAN FERNANDO,BAJAMAR,0.7,4/13/2025 15:30,4/13/2025 1:00,14.5
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,1.2,4/13/2025 3:00,4/13/2025 1:00,2
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.8,4/13/2025 9:30,4/13/2025 1:00,8.5
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,1.7,4/13/2025 16:00,4/13/2025 1:00,15
PUERTO LA PLATA,BAJAMAR,0.5,4/13/2025 1:00,4/13/2025 7:00,-6
PUERTO LA PLATA,PLEAMAR,1,4/13/2025 6:00,4/13/2025 7:00,-1
PUERTO LA PLATA,BAJAMAR,0.75,4/13/2025 13:00,4/13/2025 7:00,6
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.35,4/13/2025 3:00,4/13/2025 7:00,-4
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,0.9,4/13/2025 8:00,4/13/2025 7:00,1
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.6,4/13/2025 14:30,4/13/2025 7:00,7.5
SAN FERNANDO,BAJAMAR,0.45,4/13/2025 4:00,4/13/2025 7:00,-3
SAN FERNANDO,PLEAMAR,1,4/13/2025 9:00,4/13/2025 7:00,2
SAN FERNANDO,BAJAMAR,0.7,4/13/2025 15:30,4/13/2025 7:00,8.5
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,1.2,4/13/2025 3:00,4/13/2025 7:00,-4
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.8,4/13/2025 9:30,4/13/2025 7:00,2.5
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,1.7,4/13/2025 16:00,4/13/2025 7:00,9
PUERTO LA PLATA,BAJAMAR,1.1,4/13/2025 13:00,4/13/2025 13:00,0
PUERTO LA PLATA,PLEAMAR,1.9,4/13/2025 19:00,4/13/2025 13:00,6
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,1.2,4/13/2025 9:30,4/13/2025 13:00,-3.5
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.9,4/13/2025 15:00,4/13/2025 13:00,2
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,1.9,4/13/2025 21:00,4/13/2025 13:00,8
SAN FERNANDO,PLEAMAR,1.3,4/13/2025 10:30,4/13/2025 13:00,-2.5
SAN FERNANDO,BAJAMAR,1,4/13/2025 16:00,4/13/2025 13:00,3
SAN FERNANDO,PLEAMAR,2,4/13/2025 22:00,4/13/2025 13:00,9
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,1,4/13/2025 9:30,4/13/2025 13:00,-3.5
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,1.8,4/13/2025 16:00,4/13/2025 13:00,3
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,1.25,4/13/2025 23:00,4/13/2025 13:00,10
PUERTO LA PLATA,PLEAMAR,1.9,4/13/2025 19:00,4/13/2025 18:00,1
PUERTO LA PLATA,BAJAMAR,1.5,4/14/2025 3:00,4/13/2025 18:00,9
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,1.8,4/13/2025 21:00,4/13/2025 18:00,3
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,1.3,4/14/2025 4:30,4/13/2025 18:00,10.5
SAN FERNANDO,PLEAMAR,1.9,4/13/2025 22:00,4/13/2025 18:00,4
SAN FERNANDO,BAJAMAR,1.4,4/14/2025 5:30,4/13/2025 18:00,11.5
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,1.2,4/13/2025 23:00,4/13/2025 18:00,5
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,1.6,4/14/2025 3:00,4/13/2025 18:00,9
PUERTO LA PLATA,BAJAMAR,1.1,4/14/2025 14:00,4/14/2025 7:00,7
PUERTO LA PLATA,PLEAMAR,1.5,4/14/2025 20:00,4/14/2025 7:00,13
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.9,4/14/2025 16:00,4/14/2025 7:00,9
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,1.45,4/14/2025 22:00,4/14/2025 7:00,15
SAN FERNANDO,BAJAMAR,1,4/14/2025 17:00,4/14/2025 7:00,10
SAN FERNANDO,PLEAMAR,1.55,4/14/2025 23:00,4/14/2025 7:00,16
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,1,4/14/2025 11:00,4/14/2025 7:00,4
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,1.5,4/14/2025 16:00,4/14/2025 7:00,9
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.7,4/14/2025 23:00,4/14/2025 7:00,16
PUERTO LA PLATA,PLEAMAR,1.5,4/14/2025 20:30,4/14/2025 15:00,5.5
PUERTO LA PLATA,BAJAMAR,1,4/15/2025 2:00,4/14/2025 15:00,11
PUERTO LA PLATA,PLEAMAR,1.4,4/15/2025 7:00,4/14/2025 15:00,16
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,1.4,4/14/2025 22:30,4/14/2025 15:00,7.5
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.9,4/15/2025 4:00,4/14/2025 15:00,13
SAN FERNANDO,PLEAMAR,1.5,4/14/2025 23:30,4/14/2025 15:00,8.5
SAN FERNANDO,BAJAMAR,1,4/15/2025 5:00,4/14/2025 15:00,14
ISLA MARTÍN GARCÍA,PLEAMAR,,,4/14/2025 15:00,
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,1,4/14/2025 23:00,4/14/2025 15:00,8
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,1.5,4/15/2025 3:30,4/14/2025 15:00,12.5
PUERTO LA PLATA,PLEAMAR,1.3,4/16/2025 8:00,4/16/2025 10:00,-2
PUERTO LA PLATA,BAJAMAR,0.6,4/16/2025 15:00,4/16/2025 10:00,5
PUERTO LA PLATA,PLEAMAR,1.2,4/16/2025 21:00,4/16/2025 10:00,11
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,1.2,4/16/2025 10:00,4/16/2025 10:00,0
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.5,4/16/2025 17:00,4/16/2025 10:00,7
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,1.1,4/16/2025 23:00,4/16/2025 10:00,13
SAN FERNANDO,PLEAMAR,1.3,4/16/2025 11:00,4/16/2025 10:00,1
SAN FERNANDO,BAJAMAR,0.6,4/16/2025 18:00,4/16/2025 10:00,8
SAN FERNANDO,PLEAMAR,1.2,4/17/2025 0:00,4/16/2025 10:00,14
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.6,4/16/2025 11:00,4/16/2025 10:00,1
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,1.3,4/16/2025 17:30,4/16/2025 10:00,7.5
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.6,4/16/2025 23:30,4/16/2025 10:00,13.5
